id_autor,id_libro
71,1
62,2
76,3
212,4
327,4
63,5
124,6
339,7
144,8
248,9
136,10
43,11
181,11
125,12
106,13
39,14
31,15
109,15
7,15
240,16
97,17
250,17
107,18
271,19
264,19
160,20
233,20
259,21
67,22
187,23
232,24
263,25
104,25
97,26
36,26
85,27
296,28
76,29
55,30
124,31
9,31
96,32
137,32
339,33
181,34
282,35
221,36
204,37
261,38
226,39
51,40
196,41
217,42
100,42
207,43
142,44
253,45
56,46
331,47
57,48
28,49
295,50
137,50
273,51
116,52
208,53
201,53
113,54
138,55
254,55
105,56
148,57
148,58
2,58
258,59
319,60
245,60
123,61
88,61
36,62
171,63
73,64
7,64
220,65
91,66
40,67
88,67
348,67
5,68
305,68
243,69
251,70
242,71
57,71
9,72
149,73
269,74
258,74
76,75
52,76
156,76
172,77
232,77
180,78
132,79
340,79
250,79
235,80
181,81
171,82
340,83
306,83
139,84
328,85
211,86
338,87
73,87
16,88
221,89
46,90
194,91
141,92
348,93
279,93
231,94
270,94
348,95
170,96
214,97
142,98
159,98
98,98
267,99
314,100
63,100
233,101
178,102
5,103
76,104
77,105
149,106
341,107
250,108
151,109
21,110
304,111
251,112
221,113
1,114
71,115
146,116
258,117
341,117
288,118
80,118
45,118
74,119
101,119
42,120
17,121
182,122
348,123
217,124
51,125
155,126
306,126
289,127
166,128
72,129
350,129
129,130
70,130
103,131
44,132
322,133
94,134
224,135
270,136
161,137
184,138
219,139
211,140
287,141
216,142
72,143
155,144
298,145
263,145
318,146
290,147
28,148
202,148
344,149
266,150
28,151
139,152
333,153
55,153
50,154
290,155
247,155
32,156
300,157
28,158
265,159
74,159
254,160
346,161
80,162
160,163
4,164
249,164
103,165
1,166
62,167
127,168
243,169
259,170
29,171
154,172
208,172
248,172
121,173
280,173
134,173
349,174
225,174
316,175
64,175
326,176
73,177
337,178
124,178
280,179
246,180
342,181
302,182
342,183
198,184
55,185
218,186
146,187
289,188
298,189
331,190
337,191
22,192
182,193
72,193
235,194
82,195
258,196
269,197
33,198
78,199
289,200
72,201
338,202
202,203
331,204
242,205
93,206
260,207
270,208
133,208
166,209
298,210
317,211
35,212
24,212
82,213
341,214
348,215
119,216
122,217
54,217
90,217
197,218
216,218
32,219
314,219
129,219
38,220
192,221
16,222
165,223
56,223
231,223
327,224
103,225
252,226
147,227
83,228
271,229
99,230
45,230
323,231
50,232
105,232
18,232
3,233
185,233
291,234
280,234
175,235
95,235
329,236
98,237
293,238
243,238
183,239
287,240
35,241
225,241
193,242
292,243
41,243
265,244
61,245
27,246
170,247
149,248
129,249
200,249
184,249
81,250
39,251
274,251
295,251
266,252
257,253
160,253
205,253
280,254
57,255
135,256
17,257
134,258
31,259
281,260
169,261
340,261
32,262
121,262
289,263
19,264
178,264
214,265
307,265
314,265
283,266
246,266
67,266
22,267
255,268
333,269
245,270
117,271
29,272
101,273
195,274
10,275
27,276
194,277
221,278
282,279
71,279
61,280
189,281
181,281
224,282
122,283
119,283
6,284
275,285
8,286
128,287
30,287
65,288
145,289
180,290
126,291
67,292
311,292
204,292
63,293
40,294
279,295
183,296
113,297
228,297
188,298
283,298
335,299
137,300
278,301
28,302
211,303
319,304
249,304
105,305
267,306
119,306
284,307
191,308
73,309
19,309
226,310
333,310
233,310
11,311
256,311
18,311
302,312
44,313
313,314
10,315
197,316
228,316
106,317
338,318
27,319
17,320
179,321
312,322
173,322
135,322
303,323
111,323
175,324
319,324
219,325
30,326
56,326
348,327
274,328
294,329
266,330
134,330
196,331
122,332
8,333
350,334
44,335
128,335
278,335
293,336
316,337
138,338
335,339
312,340
7,340
292,341
136,342
228,343
237,343
5,344
184,345
285,346
30,347
41,348
313,349
33,350
133,351
142,352
133,352
66,353
117,353
76,354
336,355
26,355
336,356
260,357
297,358
163,358
117,359
133,360
9,361
348,361
181,361
23,362
180,363
260,364
262,365
105,366
191,367
349,368
213,368
219,369
74,370
13,370
185,371
209,372
192,373
241,373
151,374
319,374
16,374
23,375
77,376
14,377
55,377
161,378
261,379
177,380
111,380
299,381
77,382
333,383
40,384
115,385
290,385
258,385
323,386
281,386
215,386
63,387
271,388
27,388
338,389
226,390
100,391
151,392
125,392
186,393
162,394
60,395
124,395
210,396
181,397
40,398
335,399
248,399
230,400
118,401
292,401
65,402
276,402
209,403
341,404
134,405
175,406
161,406
210,407
76,408
324,409
102,410
93,410
8,411
86,411
135,412
241,413
52,413
18,414
13,415
86,415
68,416
264,416
272,416
217,417
182,417
286,418
151,419
173,420
316,421
24,422
182,423
210,424
323,424
231,424
224,425
149,425
69,426
94,426
302,427
261,427
4,428
190,429
233,430
225,431
302,432
50,433
253,434
289,435
269,436
219,437
197,438
92,439
22,440
108,440
221,440
295,441
161,442
51,442
85,443
141,444
115,445
148,446
133,446
55,447
119,447
342,447
50,448
261,449
15,450
307,450
277,451
276,451
4,452
251,452
14,453
190,453
293,454
228,455
233,456
57,457
62,458
228,458
253,459
135,459
71,460
343,461
60,461
182,461
114,462
39,462
260,463
233,464
263,465
38,466
162,467
20,467
267,468
286,469
321,470
325,471
126,472
193,473
113,474
345,474
241,475
96,476
145,477
68,477
46,478
110,479
2,479
223,479
286,480
92,481
135,482
324,483
327,484
272,485
93,486
119,487
150,487
251,488
201,489
307,489
247,490
113,491
148,492
229,493
340,494
91,495
164,496
178,497
66,498
248,499
251,499
121,500
138,501
210,502
166,503
163,504
227,505
134,506
138,507
249,507
174,508
326,508
158,509
230,509
294,510
275,511
106,511
57,512
315,512
67,513
11,514
11,515
195,515
47,515
171,516
181,516
284,517
33,517
266,518
275,519
81,520
203,521
118,521
83,522
170,523
212,523
128,524
19,525
11,525
270,525
204,526
22,527
81,527
13,528
127,529
64,530
194,531
336,531
139,532
40,533
38,533
213,534
278,535
78,536
302,537
100,538
311,538
166,539
218,539
12,540
235,541
136,542
296,543
242,543
193,543
48,544
209,545
248,546
274,547
196,548
255,549
191,550
280,550
232,551
115,551
13,552
119,553
245,554
330,555
74,556
43,557
49,557
107,558
251,559
304,559
73,560
243,561
291,562
31,563
253,563
160,564
78,565
19,565
290,566
3,567
108,568
251,569
280,569
334,570
237,571
264,572
285,572
42,573
54,573
40,574
7,575
63,576
225,577
59,578
20,578
254,579
88,579
269,580
281,581
5,582
223,583
347,584
139,584
268,584
191,585
85,586
268,587
315,588
191,589
266,589
310,589
237,590
170,591
70,592
85,592
269,592
243,593
6,593
92,594
35,595
3,596
160,596
97,596
49,597
170,598
320,599
81,600
326,601
116,602
8,603
141,604
146,604
219,604
157,605
207,606
288,607
278,607
329,607
40,608
53,609
144,610
92,610
53,611
268,612
197,613
304,614
316,615
243,616
2,617
111,618
47,618
315,619
76,619
74,619
1,620
27,621
226,622
242,623
257,624
124,625
287,625
198,626
182,627
160,627
163,628
272,628
310,629
86,630
325,630
74,631
224,631
251,632
129,633
286,634
334,635
179,635
188,636
344,637
178,637
110,638
316,638
98,639
92,640
6,641
101,641
227,641
100,642
159,643
189,644
258,645
7,645
18,646
329,647
23,648
130,649
141,649
321,649
293,650
242,651
312,651
252,652
332,653
54,654
20,654
314,655
79,656
91,656
68,657
43,657
62,658
327,659
161,660
50,660
143,661
100,661
9,662
345,663
163,664
87,664
301,665
188,665
341,666
342,667
34,668
257,669
137,670
228,671
312,672
259,673
326,674
2,675
160,675
180,676
239,677
45,678
238,679
47,680
45,681
303,682
11,683
6,684
112,684
236,685
127,686
349,687
98,688
68,689
159,689
147,690
72,691
212,692
97,693
103,694
152,695
226,696
251,697
187,698
329,699
324,700
88,701
300,702
276,703
223,704
350,705
107,706
176,706
258,707
138,708
108,709
240,710
60,711
324,712
72,713
166,714
194,715
18,716
54,717
5,718
244,719
332,720
96,721
184,721
240,722
12,723
316,724
295,725
205,726
125,727
192,728
248,729
154,730
120,731
260,732
56,732
138,733
206,734
304,734
15,734
86,735
306,736
269,736
102,736
291,737
72,737
67,737
28,738
159,739
73,739
178,739
85,740
338,741
89,742
42,743
105,744
126,745
285,746
192,747
3,747
177,748
282,749
109,750
343,751
193,751
125,752
50,752
163,753
69,754
205,754
145,755
346,755
218,756
306,756
37,757
343,758
301,759
14,759
312,760
121,761
175,762
1,763
204,764
331,765
118,765
97,766
155,767
174,768
93,769
146,770
346,771
18,772
134,772
216,773
92,773
84,773
265,774
239,775
43,775
52,776
208,777
7,778
83,778
295,779
