id_editorial,nombre
1,Planeta
2,Alfaguara
3,Penguin Random House
4,Santillana
5,Norma
6,Anagrama
7,Tusquets
8,Debolsillo
9,Editorial Planeta Colombia
10,Fondo de Cultura Economica
11,Siglo XXI Editores
12,Ediciones B
13,Salamandra
14,SM Ediciones
15,Oceano
16,Grijalbo
17,Sudamericana
18,Paidos
19,Cátedra
20,Espasa
21,Destino
22,Seix Barral
23,Ariel
24,Editorial Norma Educativa
25,Ecoe Ediciones
26,Panamericana Editorial
27,Grupo Editorial Patria
28,McGraw-Hill
29,Pearson Educacion
30,Editorial Trillas
31,Manual Moderno
32,Editorial Kapelusz
33,Editorial Losada
34,Emece Editores
35,Editorial Sudamericana
36,Booket
37,Nube de Tinta
38,Montena
39,Vintage Espanol
40,Duomo Ediciones
