id_ejemplar,id_libro,id_ubicacion,edicion_ejem,medio_adquisicion,tipo_material,n_factura,valor,f_registro_sis,recibido_por,recibido_de,no_ejemplar,fecha_adquisicion,codigo_barras,signatura,paginas,anio_edicion,num_entrada
1,1,3,2a edicion,Suscripcion,Fisico,F-62032,15371.32,2015-07-15,Biblioteca Central,León-Padilla,1,2013-02-20,983914539540,DU380,628,2008,E-000001
2,2,2,5a edicion,Canje,Fisico,F-96941,23447.29,2021-07-04,Sede Norte,Mosquera Group,1,2018-05-08,828143372143,SU665,374,2009,E-000002
3,2,55,2a edicion,Suscripcion,Fisico,F-53068,44244.06,2022-05-11,Sede Norte,Villa PLC,2,2024-04-28,851680314093,HX539,161,2024,E-000003
4,2,16,4a edicion,Compra,Fisico,F-27023,168628.53,2023-03-14,Sede Sur,Morales Inc,3,2025-01-05,822280452385,MU399,767,1996,E-000004
5,3,28,2a edicion,Donacion,Fisico,F-22793,141240.3,2018-03-28,Sede Sur,Cantillo PLC,1,2025-08-22,696991370654,CI808,641,1985,E-000005
6,4,56,1a edicion,Compra,Fisico,F-18648,143479.7,2023-11-28,Sede Sur,"Burgos, Sanabria and Montoya",1,1992-12-15,297418788856,CZ216,863,1979,E-000006
7,4,8,5a edicion,Suscripcion,Fisico,F-26003,94404.91,2021-11-21,Sede Sur,Cardona PLC,2,2018-02-21,193567997158,HH464,887,2003,E-000007
8,5,52,2a edicion,Canje,Fisico,F-12389,165301.79,2021-12-15,Biblioteca Central,Bautista-Díaz,1,2003-05-27,172980612485,UH266,229,1986,E-000008
9,6,35,2a edicion,Suscripcion,Fisico,F-56056,19915.2,2024-07-27,Coordinacion Academica,Barrios Group,1,2023-06-19,932333159725,FB542,186,2008,E-000009
10,7,14,2a edicion,Donacion,Fisico,F-93556,94764.82,2021-07-29,Biblioteca Central,"Ortiz, Castro and Villamizar",1,2025-02-16,352306355987,XC954,752,2024,E-000010
11,7,36,4a edicion,Suscripcion,Fisico,F-94217,75863.68,2025-02-03,Biblioteca Central,Guzmán Inc,2,2025-05-21,594077487724,GH292,83,2024,E-000011
12,7,2,6a edicion,Canje,Fisico,F-54397,83563.06,2024-05-23,Biblioteca Central,Orozco PLC,3,2018-12-21,447761714096,PO982,554,2011,E-000012
13,8,38,2a edicion,Suscripcion,Fisico,F-82559,179362.39,2023-02-21,Sede Sur,Montoya Inc,1,1991-06-15,783414135483,KZ930,113,1981,E-000013
14,9,16,3a edicion,Suscripcion,Fisico,F-15103,156678.39,2015-08-13,Sede Sur,"García, Acosta and Marín",1,2018-07-22,254611964046,PG812,344,2015,E-000014
15,9,18,3a edicion,Suscripcion,Fisico,F-79594,75024.56,2020-08-02,Sede Sur,Ríos and Sons,2,2005-11-12,429589899320,TP516,103,1999,E-000015
16,9,21,2a edicion,Compra,Fisico,F-78806,114479.56,2024-07-20,Biblioteca Central,Jaramillo-Murillo,3,2001-07-31,226111115379,DX197,350,1976,E-000016
17,10,12,5a edicion,Donacion,Fisico,F-20333,53200.7,2018-02-06,Sede Sur,Castaño-Ramírez,1,2000-07-20,936837729498,ZU663,852,1995,E-000017
18,10,52,6a edicion,Canje,Fisico,F-96232,64095.1,2025-01-15,Coordinacion Academica,"Tovar, Ángel and Vargas",2,2010-10-15,439477382316,NT999,510,2009,E-000018
19,10,18,6a edicion,Compra,Fisico,F-19010,30561.97,2025-08-05,Biblioteca Central,Rincón-Díaz,3,2009-11-24,144998273972,QP580,449,1980,E-000019
20,11,11,5a edicion,Donacion,Fisico,F-53786,42782.67,2022-04-10,Biblioteca Central,"Gutiérrez, Franco and Ortiz",1,2004-09-17,991767662614,RH117,561,1981,E-000020
21,11,46,2a edicion,Donacion,Fisico,F-99449,99097.93,2019-07-29,Biblioteca Central,Castro-Londoño,2,2020-09-08,674157289205,JU996,359,1988,E-000021
22,12,54,2a edicion,Suscripcion,Fisico,F-41183,24796.32,2017-05-14,Coordinacion Academica,González-Tovar,1,2025-05-09,420094382680,FP452,219,2021,E-000022
23,12,59,5a edicion,Canje,Fisico,F-42640,116703.5,2024-12-22,Biblioteca Central,Ruiz PLC,2,2018-06-17,562597631793,PP361,743,2000,E-000023
24,13,26,5a edicion,Donacion,Fisico,F-43152,129064.49,2021-06-19,Sede Norte,Díaz Group,1,1985-04-13,807872656453,VJ694,202,1975,E-000024
25,13,9,6a edicion,Compra,Fisico,F-42767,137905.22,2023-03-15,Biblioteca Central,Velandia Group,2,2019-10-17,536729747321,KU236,303,2017,E-000025
26,14,1,6a edicion,Donacion,Fisico,F-24519,151945.17,2015-02-26,Coordinacion Academica,"Montoya, Díaz and Patiño",1,2007-10-10,474121517198,YH311,537,1982,E-000026
27,15,51,1a edicion,Canje,Fisico,F-63887,77489.57,2020-10-26,Sede Sur,Suárez LLC,1,2024-08-20,827753912065,KY306,730,2021,E-000027
28,16,13,6a edicion,Donacion,Fisico,F-74082,171608.6,2019-11-27,Biblioteca Central,"Ortega, Duque and Chaparro",1,2014-11-04,101082809647,GS543,554,1999,E-000028
29,17,48,4a edicion,Canje,Fisico,F-64185,33218.72,2018-03-22,Sede Norte,"Sánchez, Sánchez and Castañeda",1,2025-01-31,406160070070,ZF281,516,2025,E-000029
30,18,49,5a edicion,Compra,Fisico,F-69562,72394.09,2022-03-23,Sede Norte,León and Sons,1,2022-08-16,320973245905,KQ804,362,2005,E-000030
31,18,18,2a edicion,Suscripcion,Fisico,F-67426,164293.08,2015-03-12,Sede Norte,Arango-Angulo,2,2013-10-05,635347145030,YX493,304,2005,E-000031
32,18,42,2a edicion,Compra,Fisico,F-58605,101134.66,2022-09-26,Biblioteca Central,Torres-Ortiz,3,2021-06-07,669763033502,JL918,397,2010,E-000032
33,19,37,1a edicion,Donacion,Fisico,F-43043,148602.18,2023-07-01,Sede Norte,Suárez Ltd,1,1981-08-25,648156021620,LX641,83,1976,E-000033
34,19,21,6a edicion,Suscripcion,Fisico,F-54734,15240.99,2017-03-03,Sede Norte,Cardona-Salazar,2,1984-11-16,903624743265,MY413,818,1984,E-000034
35,19,17,6a edicion,Canje,Fisico,F-36144,118759.76,2022-07-06,Sede Sur,Rodríguez-Ballesteros,3,2025-05-20,517024530829,BN583,719,2023,E-000035
36,20,3,3a edicion,Canje,Fisico,F-41610,102860.19,2020-07-12,Sede Norte,Jaimes-Hernández,1,2004-07-26,119595510306,OY806,158,1990,E-000036
37,21,27,1a edicion,Donacion,Fisico,F-64048,103271.82,2023-04-14,Biblioteca Central,Rodríguez-Rueda,1,1993-05-17,847765038241,GV661,531,1983,E-000037
38,22,14,2a edicion,Canje,Fisico,F-14799,57315.33,2025-04-18,Coordinacion Academica,"Muñoz, Roa and Rodríguez",1,2022-02-08,805578992159,NZ702,540,1989,E-000038
39,22,22,2a edicion,Compra,Fisico,F-42809,145531.42,2021-01-08,Sede Norte,Valencia-Londoño,2,1992-03-11,619880753902,GZ805,363,1988,E-000039
40,22,43,6a edicion,Compra,Fisico,F-38358,146294.18,2024-12-14,Sede Sur,Garzón Group,3,2012-09-30,194919179031,ID615,676,2009,E-000040
41,23,1,4a edicion,Canje,Fisico,F-69291,106787.33,2016-11-03,Biblioteca Central,Vargas LLC,1,2017-03-24,206252769456,XP742,665,2011,E-000041
42,24,12,2a edicion,Donacion,Fisico,F-15925,135852.64,2017-03-13,Sede Norte,"Vega, Cantillo and Monroy",1,2000-08-20,242582798168,YV402,551,1992,E-000042
43,25,40,2a edicion,Compra,Fisico,F-36760,75496.0,2023-06-26,Sede Sur,Pacheco-Gamboa,1,2013-02-13,855204485277,PH542,237,2003,E-000043
44,26,25,1a edicion,Donacion,Fisico,F-14604,102949.89,2022-09-04,Coordinacion Academica,Ospino-Orozco,1,2006-04-02,190660422077,BD882,241,1985,E-000044
45,26,10,4a edicion,Compra,Fisico,F-40049,130448.44,2016-11-11,Sede Sur,Bedoya LLC,2,1991-04-14,674295955687,RL830,648,1988,E-000045
