id_libro,id_genero
1,29
2,9
3,30
4,26
5,28
6,27
7,16
8,26
9,29
10,29
11,28
12,27
13,29
14,4
14,24
15,22
16,27
17,29
18,27
19,28
20,29
21,28
22,29
23,26
24,20
25,29
26,26
27,27
28,26
29,29
30,28
31,30
32,28
33,27
34,28
35,26
36,28
37,27
38,30
39,27
40,24
41,29
42,29
43,30
44,3
44,1
45,27
46,27
47,30
48,26
49,29
50,29
51,29
52,22
52,13
53,27
54,28
55,19
55,4
56,25
57,28
58,30
59,29
60,26
61,28
62,19
62,17
63,13
64,27
65,22
65,1
66,6
67,28
68,30
69,26
70,29
71,26
72,28
73,29
74,28
75,30
76,29
77,26
78,25
78,6
79,27
80,28
81,29
82,26
83,29
84,27
85,26
86,28
87,29
88,26
89,15
90,28
91,30
92,28
93,27
94,18
95,26
96,26
97,3
98,30
99,26
100,9
101,11
102,28
103,30
104,26
105,27
106,26
107,28
108,30
109,26
110,29
111,30
112,8
112,15
113,27
114,28
115,1
116,28
117,30
118,27
119,17
120,28
121,13
122,28
123,29
124,28
125,27
126,28
127,27
128,29
129,29
130,27
131,18
132,20
133,29
134,28
135,27
136,2
137,30
138,27
139,6
140,26
141,28
142,16
142,23
143,22
144,24
145,29
146,24
146,1
147,16
148,27
149,28
150,29
151,28
152,28
153,29
154,29
155,29
156,29
157,26
158,30
159,30
160,26
161,30
162,20
163,29
164,16
165,28
166,30
167,29
168,27
169,27
170,29
171,26
172,29
173,27
174,30
175,30
176,21
177,27
178,28
179,1
180,27
181,28
182,28
183,26
184,30
185,29
186,27
187,7
187,21
188,6
189,26
190,22
191,27
192,15
193,26
194,27
195,15
195,1
196,29
197,4
197,10
198,27
199,19
200,28
201,26
202,28
203,30
204,29
205,30
206,27
207,5
208,27
209,29
210,2
211,27
212,26
213,26
214,29
215,28
216,27
217,29
218,21
218,7
219,27
220,7
221,30
222,28
223,27
224,29
225,16
226,29
227,29
228,26
229,17
230,7
230,3
231,30
232,28
233,27
234,26
235,2
236,29
237,28
238,27
239,30
240,29
241,26
242,26
243,27
244,23
244,11
245,30
246,26
247,27
248,13
249,23
250,29
251,26
252,28
253,27
254,30
255,5
256,20
257,26
258,23
259,27
260,27
261,30
262,29
263,14
264,29
265,26
266,26
267,27
268,30
269,26
270,29
271,26
272,28
273,27
274,28
275,28
276,28
277,27
278,26
279,30
280,26
281,27
282,30
283,26
284,2
285,29
286,3
286,8
287,27
288,28
289,29
290,26
291,28
292,29
293,1
294,27
295,29
296,29
297,28
298,27
299,30
300,26
301,27
302,27
303,26
304,28
305,30
306,28
307,30
308,29
309,27
310,29
311,29
312,28
313,27
314,19
315,29
316,29
317,26
318,26
319,16
320,27
321,27
322,30
323,28
324,12
325,30
326,26
327,12
328,10
329,28
330,27
331,12
331,24
332,26
333,30
334,18
335,13
335,5
336,30
337,30
338,29
339,15
339,12
340,30
341,28
342,30
343,30
344,29
345,26
346,26
347,28
348,12
348,21
349,28
350,28
351,15
352,30
353,28
354,29
355,26
356,28
357,30
358,28
359,28
360,26
361,29
362,29
363,7
364,30
365,29
366,16
367,26
368,30
369,27
370,26
371,26
372,26
373,27
374,28
375,27
376,29
377,30
378,27
379,30
380,29
381,26
382,29
383,26
384,27
385,28
386,30
387,30
388,28
389,26
390,27
391,28
392,29
393,27
394,19
394,6
395,28
396,29
397,27
398,29
399,29
400,29
401,30
402,28
403,27
404,30
405,29
406,28
407,29
408,9
409,26
410,28
411,30
412,8
413,9
414,30
415,30
416,26
417,22
418,27
419,29
420,27
421,13
422,27
423,27
424,29
425,30
426,28
427,29
428,27
429,30
430,10
431,27
432,28
433,17
433,4
434,5
435,28
436,12
437,27
438,30
439,27
440,26
441,20
441,3
442,21
443,28
444,29
445,30
446,27
447,27
448,3
449,27
450,2
451,29
452,17
453,28
454,16
455,26
456,27
457,30
458,17
459,30
460,9
460,5
461,19
461,7
462,26
463,27
464,27
465,27
466,30
467,21
468,26
469,12
470,17
471,26
472,25
473,30
474,12
475,27
476,26
477,23
478,29
479,11
480,28
481,28
482,27
483,28
484,26
485,16
486,27
487,29
488,30
489,26
490,30
491,15
492,28
493,28
494,5
495,28
496,30
497,27
498,21
498,5
499,26
500,28
501,29
502,7
502,4
503,30
504,26
505,30
506,10
507,26
508,16
509,29
510,29
511,30
512,26
513,30
514,29
515,8
516,29
517,28
518,30
519,26
520,27
521,30
522,29
523,30
524,30
525,29
526,26
527,14
528,27
529,28
530,28
531,27
532,27
533,26
534,28
535,28
536,27
537,27
538,28
539,4
540,5
541,26
542,15
543,24
544,28
545,28
546,29
547,25
548,29
549,1
550,20
551,28
552,30
553,20
553,18
554,29
555,29
556,28
557,26
558,26
559,28
560,28
561,26
562,30
563,26
564,3
564,12
565,27
566,29
567,27
568,26
569,27
570,7
571,29
572,29
573,27
574,29
575,29
576,30
577,26
578,30
579,28
580,26
581,29
582,27
583,28
584,28
585,16
586,30
587,28
588,29
589,29
590,29
591,14
592,28
593,18
594,30
595,30
596,28
597,30
598,29
599,27
600,27
601,1
602,23
603,30
604,27
605,29
606,28
607,29
608,30
609,30
610,30
611,26
612,3
613,26
614,26
615,26
616,27
617,27
618,30
619,30
620,28
621,26
622,28
623,28
624,27
625,27
626,28
627,28
628,26
629,27
630,25
631,29
632,28
633,27
634,30
635,28
636,27
637,27
638,26
639,19
640,30
641,30
642,27
643,29
644,30
645,13
646,30
647,16
647,18
648,29
649,26
650,27
651,29
652,26
653,27
654,26
655,27
656,26
657,30
658,28
659,29
660,29
661,30
662,7
662,4
663,28
664,16
664,6
665,3
666,27
667,29
668,30
669,29
670,24
671,27
672,29
673,28
674,30
675,1
676,28
677,25
678,28
679,27
680,29
681,29
682,29
683,27
684,28
685,27
686,24
687,29
688,26
689,27
690,12
691,28
692,28
693,24
694,29
695,26
696,27
697,5
697,22
698,29
699,29
700,30
701,26
702,29
703,30
704,28
705,11
705,17
706,28
707,27
708,30
709,28
710,27
711,29
712,28
713,26
714,27
715,30
716,27
717,26
718,26
719,26
720,30
721,30
722,28
723,26
724,30
725,28
726,30
727,29
728,7
728,23
729,29
730,27
731,30
732,30
733,30
734,27
735,26
736,10
737,29
738,26
739,28
740,28
741,1
742,10
743,27
744,14
745,26
746,19
747,16
748,16
748,11
749,26
750,30
751,28
752,29
753,30
754,29
755,29
756,26
757,26
758,27
759,23
760,29
761,28
762,28
763,30
764,29
765,15
766,14
767,29
768,26
769,26
770,26
771,30
772,29
773,28
774,26
775,26
776,15
777,27
778,20
779,4
780,26
781,29
782,13
783,28
784,27
785,29
786,27
787,29
788,30
789,24
790,29
791,27
792,30
793,28
794,27
795,27
796,29
797,29
798,30
799,30
800,29
801,26
802,26
803,27
804,3
805,28
806,29
807,29
808,29
809,30
810,28
811,8
812,26
813,30
814,26
815,26
816,30
817,30
818,5
819,26
820,7
820,22
821,26
822,6
823,28
824,28
825,30
826,30
827,17
828,3
828,19
829,26
830,28
831,26
832,30
833,28
834,30
835,28
836,30
837,27
838,27
839,26
840,29
841,26
842,27
843,27
844,30
845,28
846,30
847,30
848,30
849,26
850,26
851,30
852,30
853,30
854,26
855,29
856,30
857,28
858,27
859,26
860,11
861,26
862,29
863,30
864,28
865,11
866,19
866,7
867,10
868,30
869,28
870,28
871,30
872,28
873,26
874,29
875,26
876,28
877,15
878,6
879,28
880,27
881,27
882,30
883,12
883,8
884,30
885,19
886,26
887,26
888,30
889,27
890,28
891,9
891,16
892,30
893,28
894,28
895,29
896,21
896,16
897,30
898,11
899,30
900,26
901,27
902,26
903,28
904,24
904,22
905,27
906,29
907,28
908,28
909,30
910,30
911,26
912,29
913,30
914,26
915,26
916,26
917,28
918,30
919,26
920,9
921,28
922,26
923,26
924,26
925,22
926,28
927,30
928,26
929,14
929,23
930,5
931,30
932,30
933,29
934,27
935,28
936,28
937,30
938,29
