id_prestamo,id_usuario,fecha_prestamo,fecha_devolucion,fecha_limite,observaciones,multa
1,245,2022-11-18,2022-12-25,2022-12-02,,11500
2,285,2024-07-24,2024-08-21,2024-08-07,,7000
3,185,2023-01-19,2023-02-17,2023-02-18,,0.0
4,286,2023-12-12,2024-01-08,2023-12-26,,6500
5,391,2024-02-26,2024-03-25,2024-03-18,,3500
6,159,2024-10-22,2024-11-17,2024-11-21,,0.0
7,27,2024-11-10,2024-11-13,2024-12-10,Sed molestias possimus in quasi at voluptates voluptates.,0.0
8,175,2023-12-05,2023-12-22,2023-12-26,,0.0
9,179,2023-05-04,2023-06-06,2023-05-25,Modi ab adipisci repellat voluptas ex magni molestiae nesciunt qui.,6000
10,147,2023-06-28,2023-06-29,2023-07-19,,0.0
11,342,2025-11-12,2025-12-04,2025-12-03,,500
12,309,2023-03-11,2023-04-08,2023-03-25,,7000
13,268,2025-08-21,,2025-08-28,Reiciendis provident omnis quod voluptates.,0.0
14,187,2024-03-17,2024-04-15,2024-03-24,,11000
15,92,2023-12-15,2023-12-26,2024-01-05,,0.0
16,148,2022-07-31,2022-08-10,2022-08-14,Hic repudiandae iste quibusdam sapiente quis laborum quis earum enim beatae.,0.0
17,237,2025-09-29,,2025-10-29,,0.0
18,366,2022-06-15,,2022-06-22,,0.0
19,195,2024-06-23,2024-07-06,2024-07-23,Eveniet fugit vel corrupti molestiae soluta dignissimos eligendi illum ducimus eaque.,0.0
20,267,2023-06-25,,2023-07-02,,0.0
21,115,2022-11-14,2022-12-01,2022-12-14,,0.0
22,106,2025-03-20,2025-04-28,2025-04-10,,9000
23,274,2023-09-19,2023-10-23,2023-10-19,,2000
24,359,2024-11-01,2024-11-07,2024-12-01,,0.0
25,197,2025-09-24,,2025-10-24,,0.0
26,42,2023-10-10,2023-10-23,2023-10-17,,3000
27,356,2024-04-28,2024-05-03,2024-05-19,,0.0
28,165,2025-03-01,2025-03-03,2025-03-08,Nihil porro harum distinctio animi asperiores.,0.0
29,11,2022-05-13,,2022-05-27,,0.0
30,322,2025-11-28,2025-12-07,2025-12-28,,0.0
31,319,2024-12-24,,2025-01-14,,0.0
32,290,2024-06-23,2024-07-17,2024-07-23,,0.0
33,117,2022-07-12,2022-07-18,2022-07-26,Aliquid quas necessitatibus reiciendis dicta nisi excepturi alias.,0.0
34,56,2024-11-27,2024-12-11,2024-12-11,,0.0
