id_prestamo,id_ejemplar,estado
1,1537,Devuelto
2,2318,Devuelto
3,1829,Devuelto
4,2575,Devuelto
5,35,Devuelto
6,2156,Devuelto
6,710,Devuelto
7,810,Devuelto
8,1613,Devuelto
8,1824,Devuelto
8,1709,Devuelto
9,2627,Devuelto
9,412,Devuelto
10,1010,Devuelto
11,252,Devuelto
12,937,Devuelto
13,2061,Danado
13,1949,Prestado
14,762,Devuelto
15,1196,Devuelto
16,905,Devuelto
17,1542,Prestado
18,1563,Prestado
18,459,Prestado
19,2074,Devuelto
19,260,Devuelto
20,1231,Prestado
21,2213,Devuelto
22,1282,Devuelto
22,1273,Devuelto
23,1458,Devuelto
23,2181,Devuelto
24,1944,Devuelto
25,2285,Prestado
26,1377,Devuelto
27,2082,Devuelto
28,1984,Devuelto
28,664,Devuelto
28,1251,Devuelto
29,2487,Prestado
30,2416,Devuelto
31,767,Perdido
32,1413,Devuelto
33,109,Devuelto
33,1146,Devuelto
34,88,Devuelto
35,1230,Devuelto
36,2504,Devuelto
37,449,Prestado
38,1825,Devuelto
38,2158,Devuelto
39,1146,Devuelto
40,2318,Devuelto
41,129,Devuelto
41,1419,Devuelto
42,2540,Devuelto
43,1575,Devuelto
44,1766,Devuelto
44,2436,Devuelto
44,724,Devuelto
45,881,Devuelto
45,971,Devuelto
46,989,Devuelto
47,35,Devuelto
47,134,Devuelto
47,2576,Devuelto
48,1419,Devuelto
48,1439,Devuelto
49,2437,Devuelto
49,1371,Devuelto
49,751,Devuelto
50,1513,Devuelto
50,1640,Devuelto
51,1862,Devuelto
51,1997,Devuelto
52,894,Prestado
52,433,Prestado
53,2175,Prestado
54,131,Devuelto
55,390,Devuelto
56,480,Devuelto
56,257,Devuelto
57,500,Devuelto
58,845,Devuelto
59,804,Devuelto
60,1205,Devuelto
61,2589,Devuelto
61,723,Devuelto
62,355,Devuelto
63,2373,Devuelto
64,903,Devuelto
65,2244,Devuelto
66,1875,Danado
67,2493,Devuelto
68,2104,Devuelto
69,344,Perdido
69,232,Prestado
70,714,Devuelto
71,652,Prestado
72,2503,Devuelto
73,1150,Devuelto
74,828,Perdido
75,632,Devuelto
76,2456,Devuelto
77,2251,Devuelto
78,2186,Devuelto
79,1949,Devuelto
79,2288,Devuelto
80,1934,Prestado
81,911,Devuelto
82,1802,Devuelto
83,194,Devuelto
83,2417,Devuelto
84,1449,Devuelto
85,1573,Devuelto
86,2429,Prestado
87,527,Danado
87,2239,Prestado
87,1286,Prestado
88,1128,Devuelto
89,1722,Devuelto
90,2343,Devuelto
91,407,Devuelto
92,344,Devuelto
92,357,Devuelto
93,2611,Devuelto
94,1302,Devuelto
94,1279,Devuelto
95,697,Prestado
95,1585,Prestado
95,513,Prestado
96,41,Prestado
96,1006,Prestado
97,1513,Prestado
98,704,Prestado
99,1752,Devuelto
99,1451,Devuelto
100,817,Devuelto
101,254,Devuelto
101,1804,Devuelto
102,985,Devuelto
102,2541,Devuelto
103,1794,Devuelto
104,1192,Devuelto
105,1317,Devuelto
106,1262,Devuelto
106,815,Devuelto
106,122,Devuelto
107,1198,Devuelto
108,1847,Devuelto
108,2002,Devuelto
109,1192,Devuelto
110,1203,Devuelto
111,1419,Devuelto
111,411,Devuelto
112,398,Prestado
113,717,Perdido
114,993,Prestado
115,1362,Prestado
116,2072,Devuelto
117,1655,Devuelto
117,229,Devuelto
118,240,Prestado
119,1379,Devuelto
119,96,Devuelto
119,1870,Devuelto
120,1564,Prestado
120,1752,Danado
121,1463,Devuelto
122,1479,Prestado
123,194,Prestado
124,1526,Devuelto
125,857,Devuelto
126,1044,Devuelto
127,440,Devuelto
128,1064,Devuelto
129,1115,Devuelto
130,1065,Devuelto
131,1786,Devuelto
132,2109,Devuelto
133,1304,Devuelto
133,2389,Devuelto
134,1589,Devuelto
134,206,Devuelto
135,276,Devuelto
136,637,Devuelto
137,2104,Prestado
138,888,Devuelto
139,2259,Devuelto
140,883,Devuelto
141,2383,Devuelto
141,2587,Devuelto
142,1953,Devuelto
143,390,Devuelto
144,2359,Devuelto
145,2290,Devuelto
145,434,Devuelto
146,2189,Devuelto
146,1958,Devuelto
146,2474,Devuelto
147,1693,Devuelto
148,399,Devuelto
