id,descripcion
1,Zona A - Estante 1 - Nivel 1
2,Zona A - Estante 1 - Nivel 2
3,Zona A - Estante 2 - Nivel 1
4,Zona A - Estante 2 - Nivel 2
5,Zona A - Estante 3 - Nivel 1
6,Zona A - Estante 3 - Nivel 2
7,Zona A - Estante 4 - Nivel 1
8,Zona A - Estante 4 - Nivel 2
9,Zona A - Estante 5 - Nivel 1
10,Zona A - Estante 5 - Nivel 2
11,Zona B - Estante 1 - Nivel 1
12,Zona B - Estante 1 - Nivel 2
13,Zona B - Estante 2 - Nivel 1
14,Zona B - Estante 2 - Nivel 2
15,Zona B - Estante 3 - Nivel 1
16,Zona B - Estante 3 - Nivel 2
17,Zona B - Estante 4 - Nivel 1
18,Zona B - Estante 4 - Nivel 2
19,Zona B - Estante 5 - Nivel 1
20,Zona B - Estante 5 - Nivel 2
21,Zona C - Estante 1 - Nivel 1
22,Zona C - Estante 1 - Nivel 2
23,Zona C - Estante 2 - Nivel 1
24,Zona C - Estante 2 - Nivel 2
25,Zona C - Estante 3 - Nivel 1
26,Zona C - Estante 3 - Nivel 2
27,Zona C - Estante 4 - Nivel 1
28,Zona C - Estante 4 - Nivel 2
29,Zona C - Estante 5 - Nivel 1
30,Zona C - Estante 5 - Nivel 2
31,Zona D - Estante 1 - Nivel 1
32,Zona D - Estante 1 - Nivel 2
33,Zona D - Estante 2 - Nivel 1
34,Zona D - Estante 2 - Nivel 2
35,Zona D - Estante 3 - Nivel 1
36,Zona D - Estante 3 - Nivel 2
37,Zona D - Estante 4 - Nivel 1
38,Zona D - Estante 4 - Nivel 2
39,Zona D - Estante 5 - Nivel 1
40,Zona D - Estante 5 - Nivel 2
41,Zona E - Estante 1 - Nivel 1
42,Zona E - Estante 1 - Nivel 2
43,Zona E - Estante 2 - Nivel 1
44,Zona E - Estante 2 - Nivel 2
45,Zona E - Estante 3 - Nivel 1
46,Zona E - Estante 3 - Nivel 2
47,Zona E - Estante 4 - Nivel 1
48,Zona E - Estante 4 - Nivel 2
49,Zona E - Estante 5 - Nivel 1
50,Zona E - Estante 5 - Nivel 2
51,Zona F - Estante 1 - Nivel 1
52,Zona F - Estante 1 - Nivel 2
53,Zona F - Estante 2 - Nivel 1
54,Zona F - Estante 2 - Nivel 2
55,Zona F - Estante 3 - Nivel 1
56,Zona F - Estante 3 - Nivel 2
57,Zona F - Estante 4 - Nivel 1
58,Zona F - Estante 4 - Nivel 2
59,Zona F - Estante 5 - Nivel 1
60,Zona F - Estante 5 - Nivel 2
